tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,text,tweet_created,user_timezone
5.67588278875214E+017,neutral,1,,,Delta,JetBlueNews,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch,2015-02-16 23:36:05 -0800,Sydney
5.67590027375702E+017,negative,1,Can't Tell,0.6503,Delta,nesi_1992,@JetBlue is REALLY getting on my nerves !! 😡😡 #nothappy,2015-02-16 23:43:02 -0800,Pacific Time (US & Canada)
5.67591480085463E+017,negative,1,Late Flight,0.346,United,CPoutloud,@united yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past 1am.,2015-02-16 23:48:48 -0800,
5.67592368451248E+017,negative,1,Late Flight,1,United,brenduch,"@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving, have to wait",2015-02-16 23:52:20 -0800,Buenos Aires
5.67594449874588E+017,negative,1,Customer Service Issue,0.3451,Southwest,VahidESQ,"@SouthwestAir its cool that my bags take a bit longer, dont give me baggage blue balls-turn the carousel on, tell me it's coming, then not.",2015-02-17 00:00:36 -0800,Pacific Time (US & Canada)
5.67594579310826E+017,negative,1,Bad Flight,0.6707,United,brenduch,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion",2015-02-17 00:01:07 -0800,Buenos Aires
5.67595670463205E+017,negative,1,Late Flight,1,United,CRomerDome,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher,2015-02-17 00:05:27 -0800,Pacific Time (US & Canada)
5.67614049425556E+017,negative,1,Customer Service Issue,0.3545,United,JustOGG,"@united, link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.",2015-02-17 01:18:29 -0800,Eastern Time (US & Canada)
5.67617081336951E+017,negative,1,Customer Service Issue,1,Southwest,mrshossruns,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?,2015-02-17 01:30:32 -0800,Eastern Time (US & Canada)
5.67617486703854E+017,negative,1,Customer Service Issue,0.6797,United,feliciastoler,@united I tried 2 DM it would not go thru... not sure why,2015-02-17 01:32:09 -0800,Central Time (US & Canada)
5.67623209026335E+017,negative,0.6337,Flight Booking Problems,0.6337,United,markhlyon,"Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united",2015-02-17 01:54:53 -0800,Eastern Time (US & Canada)
5.67627253991735E+017,negative,1,Bad Flight,0.3611,United,DBsViewOnThings,@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!,2015-02-17 02:10:58 -0800,Atlantic Time (Canada)
5.67630296783155E+017,negative,1,Customer Service Issue,0.6752,United,ljsbrooks,@united still waiting for a reply,2015-02-17 02:23:03 -0800,
5.67634106058822E+017,neutral,1,,,United,gwaki,@united even though technically after I land I will be silver?,2015-02-17 02:38:11 -0800,Central Time (US & Canada)
5.67643252753695E+017,neutral,1,,,US Airways,ashenfaced,@USAirways how's us 1797 looking today?,2015-02-17 03:14:32 -0800,
5.67655489119326E+017,positive,1,,,Southwest,rjp1208,@SouthwestAir nice work on the update!,2015-02-17 04:03:09 -0800,Pacific Time (US & Canada)
5.67663136082514E+017,negative,1,Lost Luggage,1,United,hannahtorney,@united i have items of sentimental value that I'm heartbroken are missing,2015-02-17 04:33:32 -0800,London
5.67663504102941E+017,negative,1,Late Flight,0.6605,Southwest,followkashyap,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.,2015-02-17 04:35:00 -0800,Eastern Time (US & Canada)
5.67667301067915E+017,neutral,1,,,Delta,BritishAirNews,"@JetBlue CEO weighs profits, flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn",2015-02-17 04:50:05 -0800,Sydney
5.67670985403286E+017,negative,1,Customer Service Issue,1,US Airways,sevnthstar,@USAirways @AmericanAir How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold,2015-02-17 05:04:44 -0800,Pacific Time (US & Canada)
5.67671602280923E+017,positive,1,,,Delta,twinkletaters,@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :),2015-02-17 05:07:11 -0800,
5.67676400933417E+017,negative,1,Late Flight,0.7098,United,MiKasuga,"@United is officially the worst, most delayed, and least helpful airline I have ever had the misfortune of flying on",2015-02-17 05:26:15 -0800,Eastern Time (US & Canada)
5.6767662685542E+017,negative,1,Customer Service Issue,0.6364,Southwest,WorkingWify,@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone,2015-02-17 05:27:09 -0800,
5.676794873837E+017,negative,1,Customer Service Issue,0.7188,US Airways,DonnyYardas,@USAirways reservations had me on hold for 2 hours only to hang up...smh 😕,2015-02-17 05:38:31 -0800,Eastern Time (US & Canada)
5.67680108002292E+017,positive,0.6645,,0,Delta,TravellerLukose,@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.,2015-02-17 05:40:59 -0800,
5.67686758708818E+017,neutral,0.689,,0,Southwest,Tinygami,@SouthwestAir Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(,2015-02-17 06:07:25 -0800,Tehran
5.67686845903827E+017,neutral,0.6579,,0,United,AsianAdidasGirl,@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl,2015-02-17 06:07:45 -0800,Central Time (US & Canada)
5.6768832527677E+017,neutral,0.6957,,0,Southwest,DubCook,"@SouthwestAir Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)",2015-02-17 06:13:38 -0800,Central Time (US & Canada)
5.67688411289756E+017,negative,1,Cancelled Flight,0.6466,Southwest,kabell87,@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help,2015-02-17 06:13:59 -0800,
5.67690417265975E+017,neutral,0.6739,,,Delta,JulianBOGJB,@JetBlue really caring??,2015-02-17 06:21:57 -0800,
5.67692504397804E+017,negative,1,Flight Booking Problems,0.6709,Southwest,kabell87,@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i,2015-02-17 06:30:14 -0800,
5.6769531086073E+017,negative,1,Late Flight,1,Delta,EBlaikie,@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer,2015-02-17 06:41:24 -0800,
5.67696188602712E+017,negative,1,Late Flight,1,Delta,elowthers,@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.,2015-02-17 06:44:53 -0800,
5.67698031081161E+017,negative,1,Customer Service Issue,0.6963,US Airways,MarkKersten,.@USAirways we have no choice but to pay another $50 to go to the airport in the hopes that we will be treated better by a rep.,2015-02-17 06:52:12 -0800,Quito
5.67701830805619E+017,positive,1,,,United,scherzva,"@united New Apple crâpe, amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits, UA needs them 2 http://t.co/gZ9GqDT7Jj",2015-02-17 07:07:18 -0800,Eastern Time (US & Canada)
5.67702414157824E+017,negative,1,Cancelled Flight,0.6526,Southwest,lucasdavidson,@SouthwestAir on hold for 2 hours and then you hung up 3 Cancelled Flightled flights. Running out of daycare for our kids who are trapped at home.,2015-02-17 07:09:37 -0800,Eastern Time (US & Canada)
5.67703258425082E+017,negative,1,Late Flight,0.7073,United,wackydunks,.@united call my work and tell them it's your fault I'm Late Flight,2015-02-17 07:12:58 -0800,Eastern Time (US & Canada)
5.67704339448209E+017,negative,1,Can't Tell,0.6843,Southwest,Raven_TheGreat,@SouthwestAir why have you guys jacked up the prices AFTER you said prices were going to be lowered? SMH,2015-02-17 07:17:16 -0800,Central Time (US & Canada)
5.67710245053407E+017,negative,1,Customer Service Issue,0.6838,US Airways,CharNewsJunkie,@USAirways I have been on hold with your Gold reservations line for OVER 3 HOURS now. Flight Cancelled Flightled. Trying to rebook.,2015-02-17 07:40:44 -0800,Eastern Time (US & Canada)
5.67711860938772E+017,neutral,1,,,United,Jamie_Fisher886,@united how much does it cost to check in an additional bag? Traveling from newark to glasgow. Thank you :),2015-02-17 07:47:09 -0800,London
5.67712600772051E+017,negative,0.6716,Late Flight,0.6716,US Airways,sankeshw,"@USAirways we are on the 2pm flight FLL to PHL and then connection to MAN. However, with the delays we might miss it. Can we go earlier?",2015-02-17 07:50:06 -0800,Casablanca
5.67713338873119E+017,positive,0.6803,,0,Southwest,DaxJeter,@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?,2015-02-17 07:53:02 -0800,
5.67713868747903E+017,negative,1,Customer Service Issue,0.6721,Southwest,CBSsoxfan,"@SouthwestAir husband on hold 2.5 hrs, got disconnected!New wait 30 min. Can't confirm res due to the fact he booked on line! Nuts!",2015-02-17 07:55:08 -0800,
5.6771389662747E+017,negative,1,Flight Attendant Complaints,1,United,rachaeldoyle21,"@united Broken entertainment system on my 8 hour NYC flight, terrible cabin crew service and online complaint form won't work #hopeless",2015-02-17 07:55:15 -0800,
5.67714192980202E+017,negative,1,longlines,0.3469,United,lauralscott,@united last night we waited forever at the gate because someone from corporate dispatch FORGOT to call the crew #unfriendlyskies,2015-02-17 07:56:25 -0800,Quito
5.67715682918228E+017,negative,0.6701,Customer Service Issue,0.6701,Southwest,kukalong,@SouthwestAir Hoping you answer the phone today?,2015-02-17 08:02:21 -0800,Arizona
5.67716378681934E+017,neutral,1,,,Delta,JetBlueNews,"@JetBlue CEO weighs profits, flyers - @ChronicleHerald (registration) http://t.co/9vKj9S7jrM",2015-02-17 08:05:06 -0800,Sydney
